abil_skill_summonvoidcrystal_name	無の水晶召喚
exp_skill_phasmashield_description	危険なファズマエネルギーの輪を召喚し、自身を取り囲む。触れた敵はダメージを受ける。
exp_skill_phasmashield_extradesc	毎ターン、精神力の^number1^と攻撃力の^number2^の火ダメージを与える。
exp_skill_phasmashield_name	ファズマリング
exp_skill_precisefinish_desc	威力は低いが、敵を倒した時の報酬が増える華麗な一撃。
exp_skill_precisefinish_extradesc	攻撃力の^number1^のダメージを与える。この攻撃で仕留めた敵からは、^number2^多くの報酬を得られる。
exp_skill_precisefinish_name	狙い撃ち
exp_skill_relichunter_desc	希少な遺物が無限の力を授けてくれる！装備中の「伝説」「レリック」「ギアセット」クラスのアイテム1個につき、^number1^のダメージと耐性を獲得。
exp_skill_relichunter_name	レリックハンター
exp_skill_retort_desc	次の物理攻撃を待ち構えて悠然とかわし、逆に攻撃者を封印状態にする。
exp_skill_retort_extradesc	回避ボーナスは^number1^ターンか、次に攻撃を受けるまで持続。攻撃者は^number2^ターンの間、封印を受ける。
exp_skill_retort_name	反ばく
exp_skill_rockcircle_name	生き埋め
exp_skill_scholar_desc	終わりなき知識の追求により、獲得するJPが^number1^増える。
exp_skill_scholar_name	学究の徒
exp_skill_shadowscroll_desc	恐ろしい影の爆発によって一帯を攻撃し、ダメージを与えると共に、残存する影のオーブを生み出す。
exp_skill_shadowscroll_extradesc	攻撃力の^number1^、精神力の^number2^の影ダメージを与える。対象の魔物は影脆弱性を受ける（効果は重複）。影のオーブは短時間、基本的な近接攻撃を^number3^強化する（効果は重複）。
exp_skill_shadowscroll_name	闇の巻物
exp_skill_shockwave_description	徐々に広がっていく稲妻をリンク状に召喚し、敵を攻撃する。
exp_skill_shockwave_extradesc	精神力の^number1^の雷ダメージを与える。
exp_skill_shockwave_name	衝撃波
exp_skill_sludgespread_name	ヘドロまき
exp_skill_subtletap_desc	敵の息の根を止めないていどに優しく殴る、近接攻撃。
exp_skill_subtletap_extradesc	攻撃力の^number1^のダメージを与えるが、HP 1以下にはならない。
exp_skill_subtletap_name	そっと撃
exp_skill_summontoxicslime_name	毒スライム召喚
exp_skill_treasuretracker_desc	隠された秘宝への鋭い嗅覚を発揮し、回復アイテムの^number1^が金貨の山となって出現する。
exp_skill_treasuretracker_name	お宝追跡
exp_skill_truehover_description	（パッシブ）浮遊術を極め、地上由来で受けるダメージが^number1^減少する。
exp_skill_truehover_name	真の浮遊
exp_skill_vanishingdodge_desc	HPが^number1^以下になった時、透明なインクが自身を包み込み、回避率が^number2^上昇する。
exp_skill_vanishingdodge_name	姿消しの墨汁
exp_skill_venomancerpoison_name	猛毒の刃
exp_skill_voidbolt_description	無のエネルギーを凝縮させて放ち、敵1体にダメージを与える。さらに毎ターン、生命力を吸い取る。
exp_skill_voidbolt_displayname	無の一撃
exp_skill_voidbolt_extradesc	攻撃力の^number1^の物理ダメージを与える。失っているHPに応じて、最大^number2^多くのダメージを与える。ダメージを受けた敵は^number4^ターンの間、毎ターン、現在のHPの^number3^を失う。
exp_skill_voidshield_description	命の粋から負のエネルギーシールドを生み出し、全ダメージを吸収する。シールドは最大HPの^number1^の耐久力を得る。シールドが有効中、確率によってランダムに「無の一撃」を放つ。
exp_skill_voidshield_displayname	無のシールド
exp_skill_voidshield_extradesc	「エッセンスシールド」とは併用不可。毎ターン、^number2^の確率で、付近の敵1体に「無の一撃」を放つ。
exp_skill_waterscroll_desc	一定範囲内を水攻めしてダメージを与え、しばらく残り続ける水蒸気を発生させる。
exp_skill_waterscroll_extradesc	攻撃力の^number1^、精神力の^number2^の水ダメージを与える。「濃霧」は火ダメージを抑制し、自身の回避率を^number3^高める。
exp_skill_waterscroll_name	水の巻物
exp_status_attackdown_name	ダメージ低下中
exp_status_brushstroke_desc	力をため、墨汁系攻撃と共に解き放つ。
exp_status_brushstroke_name	筆法
exp_status_combatbiography_boost_name	伝記ブースト
exp_status_dmgup_25_desc	与ダメージが^number1^上昇
exp_status_essencestorm_desc	エネルギーオーブを生成し、毎ターン、付近の敵1体に向けて放つ。#cy#残りのオーブ数:#ec# #cg#^$getactordata:essencestorm_ammo$^#ec#
exp_status_extracrit_desc	クリティカル率^number1^。次の攻撃またはスキル使用時に消滅する。
exp_status_flowshield_desc	エナジーシールドが全ダメージを吸収。#cy#シールドの残りHP:#ec# #cg#^$getactordata:flowshield_dmgleft$^#ec#
exp_status_parrydown_name	受け流し低下中
exp_status_robo_overdriveattack_name	オーバードライブ攻撃
exp_status_shadoworb_desc	近接武器による基本攻撃ダメージ^number1^
exp_superhardarea_name	神々の領域
exp_superhardarea_name_1	神々の領域 1階
exp_superhardarea_name_2	神々の領域 2階
exp_superhardarea_name_3	神々の領域 3階
exp_superhardarea_name_4	神々の領域 4階
exp_superhardarea_name_5	神々の領域 5階
exp_verb_charm	魅了
exp_verb_command	掌握
exp_verb_dominate	支配
exp_verb_recruit	勧誘
exp_wanderer_askgods	#cy#??? 放浪者#ec#: #cc#シャラを打ち負かした#ec#場所を探せ。#co#神々の領域#ec#への入り口が、そこで君を待っていよう。\n
exp_wanderer_dungeon1_desc	#big#報復の山#endbig#\n\n#cy#フロア数#ec#: 20\n#cy#難易度#ec#: #cr#^$gettext:difficulty_7$^#ec#\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keeprelics$^\n\n^$gettext:md_monsters_respawn$^\n\n
exp_wanderer_dungeon1_name	報復の山
exp_wanderer_dungeon10_desc	#big#南国の秘宝#endbig#\n\n#cy#フロア数#ec#: 15\n#cy#難易度#ec#: ^$gettext:difficulty_5$^\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keepgold_items_relics$^\n\n^$gettext:md_monsters_respawn$^\n^$gettext:md_jp_only_campfires$^\n^$gettext:md_more_consumables$^\n\n
exp_wanderer_dungeon10_name	南国の秘宝
exp_wanderer_dungeon2_desc	#big#精霊の寺院#endbig#\n\n#cy#フロア数#ec#: 30\n#cy#難易度#ec#: #cr#^$gettext:difficulty_8$^#ec#！\n#cy#開始条件#ec#: スキルと装備品を持ち込める\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keepgold_items_relics$^\n\n^$gettext:md_monsters_respawn$^\n\n
exp_wanderer_dungeon2_name	精霊の寺院
exp_wanderer_dungeon3_desc	#big#キンピカエル大洞窟#endbig#\n\n#cy#フロア数#ec#: 15\n#cy#難易度#ec#: ^$gettext:difficulty_5$^\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keepgold_relics$^\n\n^$gettext:md_monsters_respawn$^\n^$gettext:md_nodrops$^\n^$gettext:md_shopkeepers$^\n\n
exp_wanderer_dungeon3_name	キンピカエル大洞窟
exp_wanderer_dungeon4_desc	#big#守護者の廃殿#endbig#\n\n#cy#フロア数#ec#: 15\n#cy#難易度#ec#: ^$gettext:difficulty_5$^\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keeprelics$^\n\n^$gettext:md_monsters_respawn$^\n\n
exp_wanderer_dungeon4_name	守護者の廃殿
exp_wanderer_dungeon5_desc	#big#王者の間#endbig#\n\n#cy#フロア数#ec#: 12\n#cy#難易度#ec#: #cr#^$gettext:difficulty_8$^#ec#\n#cy#開始条件#ec#: 能力値、装備品、スキルを持ち込める\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keeprelics$^\n\n^$gettext:md_many_champions$^\n\n
exp_wanderer_dungeon5_name	王者の間
exp_wanderer_dungeon6_desc	#big#試練の塔#endbig#\n\n#cy#フロア数#ec#: 50\n#cy#難易度#ec#: #cr#^$gettext:difficulty_8$^#ec#!\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keepgold_items_relics$^\n\n^$gettext:md_monsters_respawn$^\n\nこれぞ#cr#究極のチャレンジ#ec#！\n\n
exp_wanderer_dungeon6_name	試練の塔
exp_wanderer_dungeon7_desc	#big#戦慄の狩り#endbig#\n\n#cy#フロア数#ec#: 15\n#cy#難易度#ec#: #cr#^$gettext:difficulty_7$^#ec#\n^$gettext:md_startwithnothing$^\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keepgold_relics$^\n\n^$gettext:md_monsters_respawn$^\n^$gettext:md_king_chaser$^\n\n
exp_wanderer_dungeon7_name	戦慄の狩り
exp_wanderer_dungeon8_desc	#big#混沌の工場#endbig#\n\n#cy#フロア数#ec#: 15\n#cy#難易度#ec#: ？？？\n#cy#開始条件#ec#: レベル1で開始。ギア、スキル、ペットなし、迷彩の香水10個\n^$gettext:md_ondefeat_loseprogress$^\n^$gettext:md_keeprelics$^\n\n^$gettext:md_monster_powerup$^\n^$gettext:md_monsters_respawn$^\n^$gettext:md_items_breakables$^\n\n
exp_wanderer_dungeon8_name	混沌の工場
exp_wanderer_dungeon9_name	山頂を目指して
exp_wanderer_dungeonlistbranch	#cy#??? 放浪者#ec#: どの物語も、そこへと向かう旅となる。語りが始まれば、君は旅が終わるまで、#cr#この世界に戻ってこれないかもしれん#ec#。真にのめり込める物語のみが、語るに値するものだからな。\n\n物語によっては#cy#持ち物#ec#や#cy#スキル#ec#を持ち込めず、物語が終わったあとで手元へ戻される場合もあるだろう。\n\nどの旅も成功を収めれば、他では決して手に入らない#cy#報酬#ec#を受け取れる。とはいえ勝利は容易ではなく、ふたつとして同じ物語は存在せんぞ。\n\n
exp_wanderer_firstvictory_1	#cy#??? 放浪者#ec#: よくぞ戻った、冒険者よ。\n\n我が語りを#cg#お楽しみ頂けた#ec#ようだな？\n\n
exp_wanderer_firstvictory_2	#cy#??? 放浪者#ec#: ある意味、#cg#それは正しい#ec#。\n\n君の見つけた#clr#レリック#ec#が、リュックの中に入っていないかな？\n\n
exp_wanderer_firstvictory_3	#cy#??? 放浪者#ec#: どうやって説明しようか。我が物語が#cc#巨大な湖#ec#だとしたら、君はそこを#cy#泳いできた#ec#。\n\n物語が終わった時、君は湖から上がった。その時、君が#cy#波紋#ec#を残していくように、一部の水は君についてきたのだよ。\n\nそう考えると、君が#clr#物語#ec#の中で見つけたものの一部が、#cy#目の前に現れても#ec#不思議はない。わかるかな？\n\n
exp_wanderer_firstvictory_4	#cy#??? 放浪者#ec#: 君ならわかると思った。こうした物語を分かち合える同志を、長いこと求めてきたのだ。語られるべき物語は、#cy#他にもたくさんある#ec#。\n\nふたつとして同じ旅は存在しない。語られるたびに姿を変え、そこでしか手に入らない#cg#報酬#ec#と#cr#試練#ec#が待ち構えているのだ。\n\n「#clr#山頂を目指して#ec#」は一番わかりやすい物語だった。では、残りの話も語ってやるとしよう。\n\n
exp_wanderer_firstvictory_response1	すごかったわ！実際あの場所にいるみたいだった。
exp_wanderer_firstvictory_response2	本当だ、入ってる...けど、こんなことって？！
exp_wanderer_firstvictory_response3	うん、他の物語も聞きたい！
exp_wanderer_mainbranch	#cy#??? 放浪者#ec#: こんにちは、旅の方。\n\n少し座って、川の流れを眺めていってはどうかな？\n\nこうした川は幼子と同じ。世界は壮大なタペストリーで、すべての糸に独自の#cy#旅#ec#が宿っている、ちがうかな？\n
exp_wanderer_mainbranch_askgods	#co#神々の領域#ec#はどこにあるの？
exp_wanderer_mainbranch_response1	あなたって冒険の経験が豊富そう。
exp_wanderer_mainbranch_response2	物語を聞かせて！
exp_wanderer_realmofgods_continue_1	#cy#??? 放浪者#ec#: これが私の真の姿だ。怖がらないでくれ。\n\n
exp_wanderer_realmofgods_continue_2	#cy#??? 放浪者#ec#: 私も君と同じ、冒険者でね。故郷を発ってから#cy#何千年#ec#もの間、この世界を旅してきた。そういった意味で、私は#cy#変わり者#ec#なのだよ。\n\n#co#神々の領域#ec#に暮らす仲間たちは、君たちのことや、#cg#タングルディープ#ec#のことには無関心なのでね。\n
exp_wanderer_realmofgods_continue_3	#cy#??? 放浪者#ec#: そのとおり。彼らは#cg#タングルディープ#ec#に暮らす者たちを見下している。価値のない民だと。ゆえに世界との#cr#関わりを断つ#ec#ことにしたのだ。\n\nだからこそ、君に故郷への行き方を教えたい。君は強く、たくましく、知恵が回り、#cg#計り知れない価値を持っている#ec#と証明してみせた。\n\n君なら#co#神々の領域#ec#へ挑み、#cg#勝利を掴める#ec#かもしれん。\n
exp_wanderer_realmofgods_continue_4	#cy#??? 放浪者#ec#: ありていに言えば、そうだ。こうでもしないと、彼らは#cy#君の強さを信じない#ec#。外界へも関心を向けない。私のどんな言葉よりも、君の行動が雄弁に語ってくれるのだ。\n\n私が道を教えたあとは、#cy#自由に我が故郷へ出入りできる#ec#ようになる。だが、彼らが#cg#温かく歓迎してくれる#ec#とは思わないほうがいい。\n\n君が今まで会ったことのない、#cr#恐るべき生物たち#ec#との戦いを覚悟しておくのだ。\n
exp_wanderer_realmofgods_continue_5	#cy#??? 放浪者#ec#: そう言うと思ったぞ、冒険者よ。よかろう！君に#co#神々の領域#ec#への道を教えよう。\n\n#cc#シャラ#ec#を打ち負かした場所へ戻れば、そこで入口が見つかるはずだ。\n\n
exp_wanderer_realmofgods_continue_responsebutton_1	美しいわ！
exp_wanderer_realmofgods_continue_responsebutton_2	彼らは家から出ないってこと？
exp_wanderer_realmofgods_continue_responsebutton_3	あなたの仲間と戦えってこと？！
exp_wanderer_realmofgods_continue_responsebutton_4	修羅場はくぐってきた、やってみせるわ！
exp_wanderer_realmofgods_intro_1	#cy#??? 放浪者#ec#: タングルディープの先にある世界を、その目で見てきたな？\n\n#cg#感じる#ec#のだ。\n
exp_wanderer_realmofgods_intro_2	#cy#??? 放浪者#ec#: 当然だろう、君は#cy#冒険者#ec#だ。ひとつの目標を達成すると、次の目標を求めたくなるもの...\n\nいずれ君は、あの世界について多くを学ぶ。冒険を続ける中で、いつか答えを見つけるだろうが...\n\n#cg#タングルディープ#ec#には、君もまだ知らない#cy#最後の謎がひとつ#ec#残っているのだ。\n
exp_wanderer_realmofgods_intro_3	#cy#??? 放浪者#ec#: 私は#cg#タングルディープ#ec#と、その上に広がる#cy#無限の大地#ec#との境目からやって来た。そこは大昔に世界へ刻み込まれた場所。誰がそうしたのかは言えんがな。\n\nそこでは#cr#恐ろしい獣#ec#や#cc#古代の精霊#ec#、そして無限の力を持つ#cs#ロボットたち#ec#が暮らしている。奇妙な場所だとは思わんか？彼らの全員が平和に共存し、そこを故郷と呼んでいるのだ。\n\nこの地には、#cy#忘れられて久しい言語#ec#で与えられた呼び名がある。君の言葉に翻訳すれば、#co#神々の領域#ec#といったところだ。\n
exp_wanderer_realmofgods_intro_4	#cy#??? 放浪者#ec#: もちろん今から教えよう。だが、その前にひとつ話しておきたい。私はすべてを晒してはいなかった...\n\n実のところ、私もまた#cc#古代の精霊#ec#なのだ。正体を見せよう。\n
exp_wanderer_realmofgods_intro_responsebutton_1	うん、美しかった！質問が山ほどあるの...
exp_wanderer_realmofgods_intro_responsebutton_2	どういう謎？他に何があるの？
exp_wanderer_realmofgods_intro_responsebutton_3	どうすれば行けるの？
exp_wanderer_realmofgods_intro_responsebutton_4	！！！
exp_wanderer_selectdungeon_confirm	この旅を始める
exp_wanderer_selectdungeon_no	戻る
exp_weaponmaster_statue_name	武器マスターの像
exp_weaponmaster_statue_text	あらゆる武器や戦術を極めた、#cy#強力な戦士#ec#の像が立っているわ。\n\n辺りには慈悲深いオーラと#cc#フロウ#ec#が舞っていて、まるで私に#cg#知識の断片#ec#を授けたいかのよう。\n\nここで瞑想すべき？\n
glitterskin_status_desc	近接攻撃者が盲目になり、^number2^ターンの間、命中率が^number1^下がる
intro_dualwielder	あらゆる物語は羽ペンと墨から生まれる。\n時に大胆に、時に繊細に。\nそれが私の書道であり、生き方。\n今日が私のキャンバスとなる。
item_armor_heavyarmor5_desc	この鎧の装飾って...ちょっとやりすぎ。しかもピカピカに磨き上げられてる。実戦で一度も使われていないのは明らかね。特別な機会にしか着用されなかった鎧に違いないわ。
item_armor_heavyarmor5_name	儀礼の鎧
item_armor_lightarmor5_desc	このローブを羽織ると、守護霊に見守られているように感じる。転びそうになると、うまくバランスを取ってくれるの。こんなに薄いのに、これだけ安心できるって、ちょっと想像を超えているわ。
item_armor_lightarmor5_name	古代のマント
item_armor_mediumarmor5_desc	ミスリル製の鎖に光が当たって、まるでスパンコールのドレスみたいにきらきら輝いてる！しかも普通のドレスとは違って、体をばっちり守ってくれるし。完ぺき！
item_armor_mediumarmor5_name	ミスリルの鎖帷子
item_armor_shield6_desc	この紋章は知ってる。前に本で見た。とある神秘的な王国のものよ。長老たちはただの伝説だって言ってたけど、私はいつだって実在すると信じていた！
item_armor_shield6_name	王家の盾
item_bomb_confusetraps_desc	以前これの詰まった箱が、モンスター牧場の近くで開いちゃった時、ジェセは一日がかりで魔物たちをかき集めたって聞いたわ。
item_bomb_confusetraps_effectdesc	魔物が踏むとガスが噴出し、方向感覚を失わせる。罠は^number1^ターン存続し、混乱効果は^number2^ターン持続する。
item_bomb_confusetraps_name	混乱の罠
item_item_gem8_desc	どういうわけか、リヴァーストーン村では今この金属が流行ってるみたい。特に頑丈でもないし、黄金のように光るわけでもない。おまけに重いし！
item_item_gem9_desc	タングルディープいち硬い宝石。これほどの希少品でなければ、その辺の石ころみたいに魔物へ投げつけてやるんだけど。
item_weapon_2hsword6_desc	こういった剣を持つと、熟練の兵士ですら限界を超えられるもの。過去の偉大な伝説に泥を塗らないよう、もっと武勇を磨かなきゃだめね。
item_weapon_2hsword6_name	バスターソード
item_weapon_axe6_desc	しばらく考えてるんだけど、こうした黄金の武器とかってお金の代わりになるのかな？一体どこの素敵なお金持ちさんが、こうしたモノを造ってるわけ？今度ケイティに訊いてみよっと。
item_weapon_axe6_name	アウレリアヌスの斧
item_weapon_bow6_desc	この弓で狙っていると、慈悲深い何かが手を導いてくれるように感じる。獲物を仕留めるための危険な道具でも、なぜだか心が安らぐわ。
item_weapon_bow6_name	天使の弓
item_weapon_claw6_desc	大きな牙！きっと巨大な魔物のものね。こうした牙がずらりと並んでいる姿は見たくない。それと、この牙をもぎ取った者とも対峙したくない。
item_weapon_claw6_name	原始の牙
item_weapon_dagger6_desc	自分の武器に見張られているような感覚には、決して慣れそうにない。特に私が攻撃をミスるたび、咎めるように見られるのは、ね。
item_weapon_dagger6_name	悪夢のスパイク
item_weapon_mace6_desc	これは残忍なエモノね。どこまでも武骨で、洗練さのカケラもなくて。こういった武器を見ていると、「ぶっ潰せ！」って言葉が自然と頭に浮かんでくるわ。
item_weapon_mace6_name	フランジクラッシャー
item_weapon_spear6_desc	槍に赤い布を巻いただけで、こんなにも格好よく見えるなんて驚き。けど、戦闘中にこの布を踏んですっ転んでしまう冒険者たちも、多かったんじゃないかな。
item_weapon_spear6_name	薙刀
item_weapon_staff6_desc	この杖を使い始めてから、楽しい夢ばかり見るようになった。目覚めも良くなったし。まるでこの杖の発する光が、心を癒してくれるみたい。
item_weapon_staff6_name	ルミナリエ
item_weapon_sword0_desc	墨汁は書道家の命よ。羊皮紙に記した筆跡のすべてが、自身の手足となるの。私は必死で努力して、ようやくこの教えを理解した。今こそ歴史の中に、自分の一ページを書き込む時ね。
item_weapon_sword0_name	稽古の筆
item_weapon_sword6_desc	本当に軽くて、バランスの良い剣。まるで夢を携えているかのよう。夢といっても、魔物たちをその場で切り裂いてしまう夢だけど。
item_weapon_sword6_name	天空の剣
lightningdebuff30_name	雷脆弱化
log_bankrelic	レリック「^tag1^」を取り置きした。\n\nダンジョンをクリアすると#cy#銀行#ec#で受け取れる！\n\n
log_error_know_skill	そのスキルは#cr#もう習得済み#ec#です！
log_keeprelic	レリック「^tag1^」を入手した。\n\nこの旅を終えると消滅する。\n\n
log_mon_terrain_power	#cy#^tag1^#ec#は#cy#^tag2^#ec#の中で、#cg#より強くなっている#ec#！
log_monster_died_shara	^tag1^を倒した！<color=#40b843>^tag2^</color>JPと<color=yellow>^tag3^</color>Gを獲得！
log_oilslick_poison_damage_up	<color=yellow>オイル池によって毒ダメージが悪化！</color>
log_robot_summon	#cy#^tag1^#ec#が鉄くずから、別の#cy#^tag1^#ec#を組み立てた！
log_shara_creatureheal	あなたは#cc#支配下#ec#の魔物から、#cy#^tag1^#ec# HPを受け取った！
log_shara_maxcreatures	これ以上の魔物は#cr#支配できない#ec#！（最大: #cy#^tag1^#ec#）
log_shield_absorb_damage_attack	<color=#ffc80a>^tag1^</color>が<color=#ffc80a>^tag3^</color>をヒットし、#co#^tag2^#ec#ダメージ！（#cc#シールドで吸収！#ec#）
log_shield_absorb_damage_effect	<color=#ffc80a>^tag1^</color>が<color=#ffc80a>^tag3^</color>をヒット！#cy#^tag4^#ec#によって#co#^tag2^#ec#ダメージ！（#cc#シールドで吸収！#ec#）
md_items_breakables	#cc#特殊条件#ec#: 木箱などから得られるアイテムが増加！
md_jp_only_campfires	#cc#特殊条件#ec#: たき火でのみJPを獲得！
md_keepgold_items_relics	#cy#成功時#ec#: ダンジョン内で拾ったすべての#cy#お金#ec#と#cg#アイテム#ec#、1つ以上の#clr#レリック#ec#を獲得
md_keepgold_relics	#cy#成功時#ec#: ダンジョン内で拾ったすべての#cy#お金#ec#と、1つ以上の#clr#レリック#ec#を獲得
md_keeprelics	#cy#成功時#ec#: ダンジョン内で拾った#clr#レリック#ec#を1つ以上獲得
md_king_chaser	#cc#特殊条件#ec#: #clr#神秘の王#ec#が最初から追ってくる！
md_lowmonsteraggro	#cc#特殊条件#ec#: 魔物があまり襲ってこない！
md_many_champions	#cc#特殊条件#ec#: 魔物が少なく、チャンピオンが多い！
md_mini_dreamcaster_explain_text	#cy#ミニドリームキャスター#ec#: 使用手順は以下の通りデス。\n\n#cy#装備品#ec#、#cc#夢見のオーブ#ec#、#co#お金#ec#をユニットに投入しマス。\n\n装備が強化されマス。場合によっては#co#魔法特性#ec#も追加されマス。\n\n#cy#ミニドリームキャスター#ec#は使用後、#cr#自爆シマス#ec#。\n
md_mini_dreamcaster_main_response0	かわいい！何をしてくれるの？
md_mini_dreamcaster_main_response1	ギアを強化して！
md_mini_dreamcaster_main_text	#cy#ミニドリームキャスター#ec#: #cg#現在の状態: 小さいけれど稼働中。#ec#\n
md_mini_dreamcaster_orbselect_text	#cy#ミニドリームキャスター#ec#: 使用する#cy#夢見のオーブ#ec#を選んでくだサイ。#cc#明晰のオーブ#ec#か#cg#スキルオーブ#ec#を選択すると、オーブに付随する魔法特性が付与されマス。\n
md_mini_dreamcaster_upgrade_text	#cy#ミニドリームキャスター#ec#: 強化したい装備品を選んでくだサイ。強化には#cy#夢見のオーブ#ec#が1個必要デス。#cg#オーブは装備品を選んだあとで、選択できマス。\n\n#cy#警告: このミニドリームキャスターは一度しか使えまセン。使用後に#ec##cr#自爆シマス#ec#。\n
md_monster_powerup	#cc#特殊条件#ec#: 魔物同士で戦い、勝者がレベルアップ！
md_monsters_respawn	#cc#特殊条件#ec#: 魔物が復活する！
md_more_consumables	#cc#特殊条件#ec#: 消耗品が多く出現！
md_nodrops	#cc#特殊条件#ec#: 魔物がアイテムやギアを落とさない！
md_ondefeat_loseprogress	#cy#失敗時#ec#: ダンジョン内での進捗をすべて失う
md_randomshop_intro_txt	#cy#^$npcname:current$^:#ec# やあ、こんにちは！当店の#cc#ステキな商品#ec#を見ていっておくれよ。食べ物はもちろん、武器や防具、それにちょいと変わった代物まで、幅広く取り揃えてあるからさ！\n
md_shopkeepers	#cc#特殊条件#ec#: すべてのフロアで商人が出現！
md_startwithnothing	#cy#開始条件#ec#: レベル1で開始。ギア、スキル、ペット、アイテムなし
misc_scaryface	怖い顔！
misc_shape_flexrect	レクタングル
misc_shape_semicircle	セミサークル
mm_dualwielderemblem_tier0_biography_desc	戦記を拾うと同時に^number2^ターンの間、回避率が^number1^上昇する。
mm_dualwielderemblem_tier0_dualwield_desc	二刀流時、基本攻撃の与ダメージが^number1^上昇
mm_dualwielderemblem_tier1_glide_desc	「グライド」使用時に「筆法」を獲得
mm_dualwielderemblem_tier1_shadow_desc	影ダメージが、敵の耐性の^number1^を貫く
mm_dualwielderemblem_tier2_brush_desc	移動中、^number1^の確率で「筆法」を獲得
mm_dualwielderemblem_tier2_dodge_desc	回避時に、あらゆるクールダウンが^number1^ターン減少
mm_elemental_bolt_desc	精霊の怒り
mm_elemental_bolt_name	ダメージを与える示現スキルを使用時、^number1^の確率でランダムに敵をヒットし、最後に使用した元素にて、精神力の^number2^のダメージを与える。
mm_elemental_bolt2_name	精霊の一撃
modedescription_adventure_shara	<color=#40b843>冒険モード</color>\nライフが0になると、<color=#40b843>シャラのキャンプへ戻ります</color>。\n所持金と未使用のJPが半分になります。\n<color=#40b843>ローグライクゲームの初心者</color>におすすめです。\n\n
modedescription_heroic_shara	\n<color=#ffc80a>英雄モード</color>\nライフが0になるとゲームオーバー。<color=red>最初からやり直し</color>です。\n<color=#ffc80a>手ごわい</color>ですが、<color=yellow>本来のシャラの物語をお楽しみいただけます</color>。\n\n
mon_voidcrystal_name	無の水晶
monster_attr_liveinwater	水棲型
mysteryking_chaser_powerup_txt	あなたを追ってきた#clr#~ 神秘の王 ~#ec#がすべての力を解き放ちました！\n\n#cy#本当の戦い#ec#に備えましょう...\n\n
npc_jumpintoriver_name	リヴァーストーン運河への道
obj_holyfire_name	天界の炎
relic_flavor_no_owner	謎の英雄
relic_option_goback	#cy#元のアイテム#ec#を再確認
relic_option_keep	この旅でレリックを使う。旅が終わった時に#cr#消滅#ec#します。
relic_option_wait	この旅を#cy#クリア後#ec#、レリックを受け取る。レリックのランクはダンジョン外でのレベルに応じて#cg#変動#ec#します。
relic_tutorial_text	#clr#レリック#ec#はランダムに生成される、特殊な効果を持った装備品です。#co#伝説アイテム#ec#や#cg#ギアセット#ec#より強力なレリックもあります。#clr#レリック#ec#は#cy#放浪者の旅#ec#の中でしか、手に入りません。\n\n#clr#レリック#ec#は、#clr#旅#ec#のラスボスである#cy#神秘の王#ec#を倒すと、確実に1個手に入ります。ダンジョン内でも見つかることがあります。\n\n
relic_tutorial_text2	ボスの前に見つけた#clr#レリック#ec#は、その場で入手して残りの#cy#旅#ec#に用いる（ただし、クリア時に#cr#消滅#ec#します）か、ボスを倒したあとで#cg#報酬#ec#として受け取るか、選ぶことができます。\n\n#cy#報酬#ec#として受け取る場合、レリックのランクはダンジョン外でのレベルに応じて変動します。\n\n#clr#レリック#ec#は、ダンジョン内で使いたい場合は#cr#外へ持ち出せず#ec#、報酬にしたい場合はボスに#cg#勝たないと#ec#受け取れないので、慎重に選択しましょう。\n\n
shadowdebuff30_name	影脆弱化
shara_ability_update_text	己の#cc#使命#ec#がより明確になった！#cy#^$sharamode:prevdominatename$^#ec#のスキルが、#cc#^$sharamode:dominatename$^#ec#に進化しました。\n\n^$sharamode:dominatedesc$^\n\n
shara_ability_update_text_addendum	<size=46>支配スキルを極めた！</size>\n\nあなたの#cc#支配#ec#スキルでは今後、支配下の魔物たちはプレイヤーを回復する能力を失い、#cr#時間と共にHPが減少していきます#ec#。\n\nランク「超よゆう」以上の#cc#支配下#ec#の魔物が#cy#やられた#ec#場合、あなたは自身の最大HP、スタミナ、エナジーの#cg#15%#ec#ぶん回復します！\n\n
shara_stat_boost_counter	（購入数: ^tag1^）
skill_expmon_absorbpowerups_name	アイテム吸収
skill_expmon_adhesivetongue_name	ねばつく舌
skill_expmon_batterup_name	ボコボコ！
skill_expmon_boulder_slam	沼クラッシュ
skill_expmon_burstgas	猛毒バースト
skill_expmon_burstgas_name	毒バースト
skill_expmon_cannonstunner_name	キャノンスタナー
skill_expmon_cubeslimesummonreaction_name	カクカクジェリー分裂
skill_expmon_divinepower_name	天界のオーラ
skill_expmon_eatweapon_name	武器食い
skill_expmon_fireball_name	ファイアボルト
skill_expmon_fly2_name	飛翔
skill_expmon_glitterskin_name	ギラギラ肌
